m,c
4.853442064169459e+123,1.689214266365977e+122
7.494099306073703e+121,1.689214266365977e+122
2.3492542625499857e+122,1.689214266365977e+122
2.494656546096655e+127,1.689214266365977e+122
1.0849416230591793e+123,1.689214266365977e+122
2.773325758729761e+122,1.689214266365977e+122
1.8762462673135913e+126,1.689214266365977e+122
3.875272686300012e+122,1.689214266365977e+122
1.8527663248825977e+123,1.689214266365977e+122
2.0037017838446974e+121,1.689214266365977e+122
1.059634022497683e+123,1.689214266365977e+122
1.071709476375895e+125,1.689214266365977e+122
9.30817077545195e+121,1.689214266365977e+122
